cod producto,linea,rubro,descripcion,pcio_lista,unidad,imagen,,
101100,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-6 (10 X 13 mm.),244.38,(C/U),101100,,
101101,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE MANGUERA GAS 10.5,268.18,(C/U),101100,,
101102,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-7 (11 x 14 mm.),244.38,(C/U),101100,,
101103,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-8 (13 x 16 mm),244.38,(C/U),101100,,
101104,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-10 (14 x 18 mm) 1/2,255.64,(C/U),101100,,
101105,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-11 (17 x 21 mm.),255.64,(C/U),101100,,
101106,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-12 (19 x 23 mm.),255.64,(C/U),101100,,
101107,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-13 (20 x 24 mm.),278.66,(C/U),101100,,
101108,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-14 (22 x 27 mm.)  3/4,260,(C/U),101100,,
101109,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-15 (25 x 31 mm.),285.62,(C/U),101100,,
101110,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-16 (28.5 x 36 mm)  1',285.62,(C/U),101100,,
101111,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-17 (32 x 38 mm.),364.94,(C/U),101100,,
101112,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-18 (35 X 40 mm),432425,(C/U),101100,,
101113,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-19 (40 x 48.5 mm)  1.1/2',452.7,(C/U),101100,,
101114,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-20 (45 x 52 mm),364.22,(C/U),101100,,
101115,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-21 (47 x 55 mm.),364.22,(C/U),101100,,
101116,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-22 (52 x 58 mm) 2`,376.08,(C/U),101100,,
101117,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-23 (57 x 66 mm),387.54,(C/U),101100,,
101118,SANITARIOS,ABRAZADERAS,"ABRAZADERA ALAMBRE A-24 (61 x 69 mm) 2.1/2""",415.36,(C/U),101100,,
101119,SANITARIOS,ABRAZADERAS,ABRAZADERA ALAMBRE A-25 (66 x 74 mm),429.98,(C/U),101100,,
101120,SANITARIOS,ABRAZADERAS,"ABRAZADERA ALAMBRE A-26 (69 x 77mm) 3""",429.98,(C/U),101100,,
101195,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 0  8-20 mm C/MARIPOSA,107.28,(C/U),101199,,
101198,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 0  8 -12 mm,229.7,(C/U),101200,,
101199,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 0 10 -16mm,245.98,(C/U),101200,,
101200,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 1  12-20mm (1/2'),245.98,(C/U),101200,,
101201,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 2  16-25mm (3/4'),249.66,(C/U),101200,,
101202,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 3  20-32mm (1'),255.54,(C/U),101200,,
101203,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 4  25-40mm,272.96,(C/U),101200,,
101204,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 4  32-50mm (1.1/2'),293.82,(C/U),101200,,
101205,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 5  40-60mm (2'),314.66,(C/U),101200,,
101206,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 6  50-70mm,355.94,(C/U),101200,,
101207,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 7  60-80mm,372.12,(C/U),101200,,
101208,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 8  70-90mm,445.04,(C/U),101200,,
101209,SANITARIOS,ABRAZADERAS,ABRAZADERA CREMALLERA N° 9  80-100mm,489.28,(C/U),101200,,
